Instituição;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total da Carteira de Pessoa Física;Empréstimo com Consignação em Folha;;;;;;;;Empréstimo sem Consignação em Folha;;;;;;;;Veículos;;;;;;;;Habitação;;;;;;;;Cartão de Crédito;;;;;;;;Rural e Agroindustrial;;;;;;;;Outros Créditos;;;;;;;;Total Exterior Pessoa Física;
;;;;;;;;;;;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 dias;A Vencer Entre 1801 a 5400 Dias;A Vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;;
CAIXA ECONÔMICA FEDERAL;51.626;b1;C;1;S1;199;BRASILIA;DF;09/2022;761.696.346;436.446;4.446.211;10.696.723;25.596.690;21.787.234;31.072.188;8;94.035.499;230.125;2.266.515;5.265.639;5.547.101;1.092.504;22.208;0;14.424.092;5.171;11.324;25.892;38.019;8.969;55;0;89.429;1.132.654;16.282.044;44.400.250;103.937.712;85.836.747;246.755.584;100.833.447;599.178.437;1.613.982;7.719.831;2.482.609;178.938;30.709;30.089;0;12.056.157;119.869;1.574.353;9.996.597;6.810.458;5.786.083;4.320.980;0;28.608.340;1.403.133;5.735.199;2.222.707;1.652.106;990.871;1.285.408;14.967;13.304.392;0
C6 BANK;52.072;b1;C;2;S3;199;SAO PAULO;SP;09/2022;20.928.157;23.137;612.945;1.672.521;3.301.043;2.028.464;889.957;0;8.528.068;32.177;415.519;941.353;1.331.309;505.593;214.772;0;3.440.723;2.574;115.417;311.028;559.057;164.619;639;0;1.153.334;0;0;0;0;0;0;0;0;1.328.952;4.445.849;1.788.323;36.026;7;0;0;7.599.157;0;0;0;0;0;0;0;0;35.633;7.493;85.388;57.558;6.163;12.711;1.928;206.874;0
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1.023.570;b1;I;3;S3;8;SAO PAULO;SP;09/2022;18.261.701;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19.596;498.556;858.702;951.219;518.520;379.609;323;3.226.527;91.542;1.548.177;4.776.691;5.127.317;2.490.733;999.820;893;15.035.174;0
NUBANK;52.058;n1;C;2;S3;197;SAO PAULO;SP;09/2022;17.831.196;0;0;0;0;0;0;0;0;980.743;4.111.928;5.169.684;1.173.458;11.412;27;0;11.447.252;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.443.068;3.225.720;678.574;36.552;28;1;0;6.383.944;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BANCO COOPERATIVO SICREDI S.A.;1.181.521;b1;I;2;S3;11;PORTO ALEGRE;RS;09/2022;17.328.658;0;89.665;237.065;408.369;189.087;71.914;0;996.100;0;46;99;100;54;29;0;328;0;1.367;3.397;2.152;718;853;0;8.487;0;23.011;52.326;136.272;133.183;604.023;603.466;1.552.281;0;0;0;0;0;0;0;0;0;638.511;2.109.682;4.598.103;3.870.921;3.471.094;0;14.688.310;399;10.365;25.974;40.463;5.691;262;0;83.153;0
BMG;30.290;b1;C;2;S3;199;SAO PAULO;SP;09/2022;16.282.061;23.184;358.342;966.436;1.862.309;1.106.571;556.065;13;4.872.920;320.957;459.688;679.335;583.156;220.933;144.316;0;2.408.386;22;12;26;36;1;0;0;97;0;0;0;0;0;0;0;0;459.130;3.920.365;965.835;1.121.915;531.879;79.779;0;7.078.903;0;0;0;0;0;0;0;0;258;12.255;8.122;9.838;1.609;1.272;0;33.354;1.888.401
INTER;51.884;b1;C;2;S3;199;BELO HORIZONTE;MG;09/2022;15.938.696;22.315;254.535;733.620;1.511.242;1.062.410;742.198;38;4.326.358;38.830;112.872;196.269;187.570;58.997;32.118;0;626.656;0;0;0;0;0;0;0;0;9.133;69.792;164.024;416.429;389.444;1.538.412;1.150.318;3.737.552;760.277;4.119.942;1.108.026;66.061;4.035;0;18;6.058.360;1.431;53.178;103.570;39.528;0;0;0;197.707;15.333;81.687;140.062;210.129;147.011;366.030;31.811;992.062;0
XP;52.120;b1;C;2;S3;199;RIO DE JANEIRO;RJ;09/2022;14.931.253;0;0;0;0;0;0;0;0;5.392;720.094;1.158.239;1.573.012;6.850.471;310.142;0;10.617.350;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17.479;3.067.747;1.073.664;11.697;0;0;0;4.170.588;0;0;0;0;0;0;0;0;346;7.396;22.448;42.886;28.481;41.759;0;143.315;0
BANCO CSF S.A.;8.357.240;b2;I;3;S3;8;SAO PAULO;SP;09/2022;14.710.637;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.635.030;7.738.486;3.568.174;768.716;231;0;0;14.710.637;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PORTO SEGURO;51.444;n1;C;2;S3;197;SAO PAULO;SP;09/2022;13.891.106;3.332;15.422;35.788;46.049;8.876;62;0;109.529;13.734;43.050;91.760;41.656;1.457;1;0;191.657;53.476;242.103;600.345;835.662;119.157;175;0;1.850.919;0;0;0;0;0;0;0;0;1.016.615;6.744.657;3.495.552;243.076;61.835;4;0;11.561.738;0;0;0;0;0;0;0;0;1.049;21.366;62.228;83.733;8.886;0;0;177.263;0
BANCO SICOOB;51.750;b1;C;2;S3;199;BRASILIA;DF;09/2022;13.743.095;4.557;142.005;369.200;816.690;515.476;252.939;0;2.100.868;1.770;36.562;82.002;152.750;74.520;24.443;0;372.048;0;2;0;2;0;0;0;4;747;13.122;27.529;72.561;73.280;345.428;380.902;913.569;81.041;1.206.331;5.534.708;142.575;2.645;0;0;6.967.300;0;218.335;371.747;999.558;904.397;865.581;0;3.359.618;95;1.973;2.832;7.251;6.512;11.025;0;29.688;0
DAYCOVAL;51.987;b1;C;2;S3;199;SAO PAULO;SP;09/2022;12.795.977;92.479;655.985;1.790.087;3.418.105;2.047.922;1.001.242;0;9.005.820;9.946;18.007;42.446;29.639;5.336;958;0;106.332;58.236;265.555;612.630;847.949;105.946;0;0;1.890.318;7;458;1.263;2.698;1.973;3.966;467;10.832;55.032;923.409;27.883;4.029;1.144;573;0;1.012.069;0;22;315;635;141;0;0;1.112;4.083;106.764;332.040;207.630;66.583;46.727;3.626;767.454;2.040
ORIGINAL;51.781;b1;C;2;S3;199;SAO PAULO;SP;09/2022;11.769.933;3;0;0;0;0;0;0;3;374.323;429.955;725.691;860.843;266.590;27.466;0;2.684.868;0;0;0;0;0;0;0;0;1;17;35;47;38;112;9;260;1.181.900;2.116.251;674.369;24.500;2.026;775;0;3.999.820;729;29.416;75.620;20.350;0;0;0;126.114;559.627;820.514;1.450.233;1.546.170;523.739;1.973;56.611;4.958.867;0
BANCO DA AMAZONIA S.A.;4.902.979;b1;I;1;S3;2;BELEM;PA;09/2022;10.716.966;156;1.863;4.543;5.534;1.185;7;0;13.288;8.561;79.468;378.507;220.647;10.127;1.260;27.958;726.528;252;2.610;7.269;9.736;1.691;0;0;21.557;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;54.051;396.578;4.119.622;2.658.399;1.008.729;1.506.366;78.883;9.822.628;12.505;66.806;51.379;1.125;256;895;0;132.965;0
BANCO DO ESTADO DO PARÁ S.A.;4.913.711;b1;I;1;S3;8;BELEM;PA;09/2022;10.001.052;11.519;340.418;1.266.887;2.432.283;1.505.188;2.199.834;3.737;7.759.865;20.906;390.398;447.228;481.633;137.475;29.815;0;1.507.454;9;9;27;68;71;62;0;246;48;9.043;26.953;62.826;51.209;144.105;54.593;348.778;37.568;93.528;26.002;2.754;0;0;2;159.854;0;326;1.506;38.211;18.519;16.198;0;74.760;4.092;15.501;25.917;43.521;25.880;33.657;1.527;150.094;0
MERCANTIL DO BRASIL;20.152;b1;C;2;S3;199;BELO HORIZONTE;MG;09/2022;9.450.218;30.498;458.493;1.246.248;2.261.999;1.224.876;471.811;0;5.693.924;98.755;627.826;1.092.252;1.024.209;246.981;75.445;7;3.165.474;3;64;51;12;2;0;0;132;63;1.065;3.056;7.460;6.559;21.889;6.780;46.871;21.241;301.731;62.006;817;0;0;0;385.796;0;323;13.406;1.361;0;0;0;15.090;16.327;62.316;49.297;13.315;1.646;29;0;142.931;0
BANCO VOLKSWAGEN S.A.;59.109.165;b2;I;3;S3;8;SAO PAULO;SP;09/2022;9.118.193;771;4.352;11.629;13.339;2.543;25;0;32.659;4.367;11.017;33.730;54.007;7.253;13;0;110.388;68.718;1.092.451;2.934.911;4.194.760;682.063;2.245;0;8.975.146;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BNP PARIBAS;51.516;b1;C;3;S3;199;SAO PAULO;SP;09/2022;8.241.834;53.174;359.256;1.064.937;2.115.621;1.331.997;594.113;0;5.519.100;1.782;6.762;6.571;1.247;483;105;0;16.949;75;189;396;175;0;0;0;836;0;0;0;0;0;0;0;0;169.434;1.516.247;515.163;203.243;28.644;0;0;2.432.732;0;736;0;0;0;0;0;736;16.735;33.891;64.580;98.543;41.050;16.684;0;271.482;0
AGIBANK;51.956;b1;C;2;S4;199;CAMPINAS;SP;09/2022;8.126.842;28.154;402.230;1.081.883;2.039.782;1.203.190;587.492;0;5.342.731;224.753;575.907;984.673;387.784;8.548;3.088;0;2.184.753;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;38.841;545.564;11.905;7;0;0;0;596.317;0;0;0;0;0;0;0;0;1.655;393;813;151;28;2;0;3.042;0
BANCO DE LAGE LANDEN BRASIL S.A.;5.040.481;b2;I;3;S4;8;PORTO ALEGRE;RS;09/2022;6.963.975;0;0;0;0;0;0;0;0;764;5.744;17.551;31.684;13.153;3.485;0;72.381;0;21;88;186;128;0;0;423;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18.198;293.034;1.694.672;2.691.446;1.575.446;617.823;0;6.890.619;79;65;192;216;0;0;0;551;0
BANCO CNH INDUSTRIAL CAPITAL S.A.;2.992.446;b2;I;3;S3;8;CURITIBA;PR;09/2022;6.951.492;0;0;0;0;0;0;0;0;313;3.216;8.934;17.666;7.849;14;0;37.992;2.092;17.227;47.311;92.582;37.108;99;0;196.420;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26.404;106.325;1.806.295;2.793.638;1.550.060;416.196;0;6.698.918;0;3.730;14.200;142;91;0;0;18.163;0
BANCO TOYOTA DO BRASIL S.A.;3.215.790;b2;I;3;S3;8;SAO PAULO;SP;09/2022;6.891.238;0;0;0;0;0;0;0;0;0;247;772;975;114;0;0;2.109;27.104;909.269;2.226.366;3.179.697;480.882;804;0;6.824.123;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;225;10.225;23.568;28.421;2.567;0;0;65.006;0
BANCO JOHN DEERE S.A.;91.884.981;b1;I;3;S3;8;INDAIATUBA;SP;09/2022;6.880.736;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27.602;220.978;1.767.534;2.805.085;1.646.632;279.641;0;6.747.472;1.405;23.739;72.207;27.774;7.247;892;0;133.264;0
BANCO DO NORDESTE DO BRASIL S.A.;7.237.373;b1;I;1;S2;8;FORTALEZA;CE;09/2022;6.690.038;333;11.374;41.240;64.591;20.103;362;0;138.002;1.318;5.354;11.209;7.781;70;11;0;25.742;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.501;24.572;8.024;256;0;0;0;35.353;16.043;609.699;326.716;34.300;1.926;1.949;0;990.633;217.876;3.430.015;1.775.537;74.573;1.134;1.115;55;5.500.307;0
PARANÁ BANCO;30.881;b1;C;2;S4;199;CURITIBA;PR;09/2022;6.365.544;19.208;434.628;1.179.559;2.338.279;1.448.272;824.518;0;6.244.465;0;7.743;18.414;29.748;10.263;3.669;4;69.841;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42.727;0;0;0;0;0;42.727;0;0;0;0;0;0;0;0;177;553;1.469;2.601;1.521;2.111;79;8.510;0
ALFA;51.293;b1;C;2;S3;199;SAO PAULO;SP;09/2022;6.049.995;5.312;298.111;752.964;1.368.564;780.894;442.898;0;3.648.742;152;22.609;41.400;39.979;6.312;172;0;110.624;4.092;283.842;707.049;1.062.773;207.819;1.977;0;2.267.551;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;155;12.923;10.000;0;0;0;23.078;0
OMNI;50.940;b1;C;2;S4;199;SAO PAULO;SP;09/2022;5.973.390;0;0;0;0;0;0;0;0;49.715;151.705;229.767;190.777;14.937;0;0;636.901;167.470;531.398;1.161.207;1.402.631;117.439;0;0;3.380.145;0;0;0;0;0;0;0;0;695.261;784.183;238.739;20.259;1;0;0;1.738.444;0;0;0;0;0;0;0;0;24.201;85.528;101.424;6.747;0;0;0;217.899;0
BANCO GM S.A.;59.274.605;b2;I;3;S3;8;SAO PAULO;SP;09/2022;5.773.379;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;56.855;771.543;1.895.949;2.570.454;473.048;5.531;0;5.773.379;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
REALIZE CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A.;27.351.731;n1;I;3;S4;14;PORTO ALEGRE;RS;09/2022;5.651.328;0;0;0;0;0;0;0;0;6.708;9.927;5.851;151;0;0;0;22.636;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.412.330;3.070.659;1.108.565;37.137;0;0;0;5.628.692;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MIDWAY S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;9.464.032;n1;I;2;S4;14;SAO PAULO;SP;09/2022;5.646.928;41;77;77;14;0;0;0;209;179.007;301.421;288.413;40.840;12;27;0;809.720;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;893.704;2.732.469;1.179.579;31.246;0;0;0;4.836.998;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BANESTES;30.159;b1;C;1;S3;199;VITORIA;ES;09/2022;4.787.198;7.496;124.425;347.584;711.876;489.035;739.663;0;2.420.080;6.473;48.245;90.654;102.724;34.251;6.577;0;288.923;202;3.574;10.339;18.963;5.474;24;0;38.577;333;13.128;38.854;102.218;99.929;442.475;447.954;1.144.892;13.280;460.123;20.533;3.310;0;0;0;497.246;234;22.166;35.961;74.274;36.066;13.520;0;182.221;7.443;76.481;55.546;54.389;12.406;8.620;374;215.259;0
COOPERATIVA DE CREDITO VALE DO ITAJAI - VIACREDI;82.639.451;b3S;I;2;S3;9;BLUMENAU;SC;09/2022;4.548.722;92;2.125;5.748;10.265;4.251;3.921;0;26.402;67.361;368.392;919.090;1.146.179;242.238;189.724;12.094;2.945.079;2.187;27.399;71.345;108.031;17.247;342;0;226.550;4;2.392;7.008;16.076;12.988;33.476;11.333;83.278;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;88.937;198.491;453.584;389.590;92.145;44.236;429;1.267.413;0
ASSOCIACAO DE POUPANCA E EMPRESTIMO - POUPEX;655.522;n1;I;2;S3;25;BRASILIA;DF;09/2022;4.185.644;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.929;77.096;221.233;524.612;460.369;1.643.646;1.223.752;4.154.637;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;155;749;2.124;5.241;4.587;15.470;2.682;31.008;0
HONDA;51.396;b2;C;3;S4;198;SAO PAULO;SP;09/2022;4.021.915;0;0;0;0;0;0;0;0;30;114;96;0;0;0;0;240;59.007;604.375;1.388.553;1.839.075;130.663;1;0;4.021.674;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CREDIT SUISSE;30.771;b1;C;3;S3;199;SAO PAULO;SP;09/2022;3.764.795;0;0;0;0;0;0;0;0;0;976.711;1.002.486;1.349.897;176.012;54.461;0;3.559.566;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11.628;193.600;0;0;0;205.228;0
COOPERATIVA DE CREDITO CREDICITRUS;54.037.916;b3S;I;2;S3;9;BEBEDOURO;SP;09/2022;3.617.105;38;594;2.183;5.217;2.661;0;0;10.692;43.272;249.162;577.444;529.777;190.708;18.834;759;1.609.957;354;16.539;45.327;68.108;13.476;39;0;143.843;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.374;416.509;858.659;327.057;44.662;2.924;0;1.652.186;16.974;85.516;38.288;14.932;43.634;1.083;0;200.428;0
