Instituição;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total da Carteira de Pessoa Jurídica;Capital de Giro;;;;;;;;Investimento;;;;;;;;Capital de Giro Rotativo;;;;;;;;Operações com Recebíveis;;;;;;;;Comércio Exterior;;;;;;;;Outros Créditos;;;;;;;;Financiamento de Infraestrutura/Desenvolvimento/Projeto e Outros Créditos;;;;;;;;Rural e Agroindustrial;;;;;;;;Habitacional;;;;;;;;Total Exterior Pessoa Jurídica;
;;;;;;;;;;;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;;
BB;49.906;b1;C;1;;199;BRASILIA;DF;12/2012;284.617.647;913.884;10.932.834;24.759.755;25.332.874;5.773.436;2.204.696;0;69.917.480;19.835;1.346.532;2.715.733;7.785.856;11.598.317;9.994.660;1.053.104;34.514.038;107.498;2.087.187;994.198;593.053;0;0;0;3.781.937;544.186;14.640.691;3.553.997;1.503.173;11.576;0;2;20.253.626;304.158;4.953.743;7.292.715;380.050;83.243;1.052;0;13.014.961;272.608;2.598.041;534.616;1.182.576;669.712;194.561;1.775;5.453.888;296.873;4.298.661;14.178.448;23.154.697;8.530.182;9.460.999;2.980.024;62.899.883;51.096;4.820.442;13.347.864;14.085.767;1.500.205;1.188.382;38.828;35.032.584;0;15.147;220.289;1.000.374;57.742;6.851;1.121;1.301.525;38.447.726
BIC;32.119;b1;C;2;;199;SAO PAULO;SP;12/2012;11.400.813;181.955;2.421.463;2.099.540;1.534.954;232.322;7.963;0;6.478.197;4.729;102.881;206.359;220.315;31.872;748;0;566.905;58.700;654.802;257.892;102;0;0;0;971.496;669;27.671;15.511;22;0;0;0;43.873;16.223;918.885;1.254.023;100.134;6.000;0;0;2.295.265;15.132;51.440;137.002;64.654;22.035;3.053;0;293.316;0;0;0;0;0;0;0;0;3.274;25.537;72.619;573;0;0;0;102.003;0;0;0;0;0;0;0;0;649.758
CITIBANK;30.403;b1;C;3;;199;SAO PAULO;SP;12/2012;10.459.764;31.838;1.310.064;1.046.391;376.555;9.639;0;0;2.774.487;2.991;33.194;68.136;74.120;1.057;0;0;179.499;48.650;420.350;203.613;0;0;0;0;672.613;4.181;1.170.188;776.845;15.623;0;0;0;1.966.837;52.914;1.117.507;1.561.267;310.791;137.628;8.543;0;3.188.650;7.039;298.949;553.118;42.829;0;0;0;901.935;832;32.719;214.920;170.505;13.297;1.432;0;433.706;265;177.409;164.364;0;0;0;0;342.038;0;0;0;0;0;0;0;0;0
MERCEDES-BENZ;51.262;b2;C;3;;198;SAO PAULO;SP;12/2012;8.928.440;3.292;47.582;38.390;54.477;9.646;1.606;0;154.993;34.247;389.461;307.154;494.957;120.014;40;0;1.345.873;0;0;0;0;0;0;0;0;22.979;882.838;7.408;0;0;0;0;913.225;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28.369;730.326;1.914.907;2.964.935;827.963;47.848;0;6.514.349;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BANCO DO NORDESTE DO BRASIL S.A.;7.237.373;b1;I;1;;8;FORTALEZA;CE;12/2012;8.740.611;77.472;280.751;760.051;630.480;70.858;15.022;73.679;1.908.312;30.430;94.517;190.479;200.960;111.799;400.889;2.439;1.031.513;215.457;118.907;357.439;13.816;0;0;0;705.619;17.313;55.043;3.537;18;0;0;0;75.911;0;0;0;0;0;0;0;0;154.969;177.829;200.071;127.551;53.529;105.894;6.248;826.092;602;155.285;1.048.894;555.052;503.045;1.460.269;215.479;3.938.626;59.939;16.186;30.634;13.484;11.917;121.767;610;254.537;0;0;0;0;0;0;0;0;0
ABC-BRASIL;41.856;b1;C;3;;199;SAO PAULO;SP;12/2012;8.315.810;0;0;0;0;0;0;0;0;0;325;1.232;1.327;0;0;0;2.885;2.557;198.158;111.773;0;0;0;0;312.488;595;154.233;26.650;4;0;0;0;181.482;1.825;380.545;668.659;301.074;20.845;0;0;1.372.948;16.092;737.007;1.344.091;1.061.064;83.970;10.289;0;3.252.512;100;214.631;489.691;728.326;252.102;84.901;0;1.769.753;0;15.444;24.365;16.424;7.279;0;0;63.513;0;0;0;0;0;0;0;0;1.360.230
BTG PACTUAL;49.944;b1;C;2;;199;RIO DE JANEIRO;RJ;12/2012;7.721.528;16.673;885.991;784.215;740.634;52.835;0;0;2.480.348;0;0;0;0;0;0;0;0;0;7.019;46.256;0;0;0;0;53.275;37;295.209;472.132;260.802;47.727;44.861;323;1.121.092;8.044;209.577;927.673;815.165;111.974;11.827;0;2.084.260;0;9.692;0;0;0;0;0;9.692;0;345;8.199;7.988;5.687;22.995;0;45.214;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.927.648
BANCO COOPERATIVO SICREDI S.A.;1.181.521;b1;I;2;;11;PORTO ALEGRE;RS;12/2012;6.045.407;706;21.283;205.690;10.105;266;0;0;238.050;52;3.313;9.383;18.654;10.332;3.924;0;45.659;20;5.072;1.662;0;0;0;0;6.753;0;0;0;0;0;0;0;0;0;30.437;58.035;0;0;0;0;88.473;1.400;663.593;3.748.903;386.470;38.261;372;19;4.839.017;33;10.679;31.137;77.477;58.511;51.574;0;229.411;0;54.428;496.800;34.772;10.574;1.470;0;598.044;0;0;0;0;0;0;0;0;0
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;92.816.560;b4;I;1;;5;PORTO ALEGRE;RS;12/2012;5.931.099;0;0;0;0;0;0;0;0;34.448;5.550;21.996;43.151;28.388;31.764;0;165.295;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4.059;6.077;7.289;46.578;21.005;50.053;0;135.060;12.664;155.308;440.270;1.116.724;758.203;781.351;146;3.264.667;3.207;106.823;237.241;685.160;560.265;773.381;0;2.366.076;0;0;0;0;0;0;0;0;0
CREDIT SUISSE;30.771;b1;C;3;;199;SAO PAULO;SP;12/2012;5.163.333;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5.869;100.164;137.108;103.377;0;0;346.517;0;82.400;113.516;313.520;93.987;10.676;0;614.100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4.202.716
ALFA;51.293;b1;C;2;;199;SAO PAULO;SP;12/2012;5.140.211;439;391.489;988.695;253.908;8.574;0;0;1.643.105;1.428;137.973;301.721;297.693;12.952;1;0;751.768;0;92.905;73.745;20.121;0;0;0;186.771;0;967.279;148.775;3.556;0;0;0;1.119.609;0;120.072;85.402;454;0;0;0;205.928;0;2.637;7.157;14.528;10.571;6.811;0;41.704;1.488;104.008;292.935;538.258;160.966;90.011;0;1.187.667;0;158;963;2.076;463;0;0;3.659;0;0;0;0;0;0;0;0;0
FIBRA;49.951;b1;C;2;;199;SAO PAULO;SP;12/2012;4.899.947;51.199;763.532;953.327;359.302;15.157;119;0;2.142.636;6.336;32.812;59.196;68.325;7.686;0;0;174.355;0;113.410;31.360;0;0;0;0;144.770;1.101;177.023;19.045;4.376;0;0;0;201.545;9.996;208.695;351.773;0;0;0;0;570.464;1.651;162.592;266.757;27.184;5.099;0;0;463.283;553;73.375;94.707;56.068;10.015;0;0;234.718;0;26.741;55.657;11.675;0;0;0;94.072;0;0;0;0;0;0;0;0;874.103
PINE;50.304;b1;C;2;;199;SAO PAULO;SP;12/2012;4.686.050;15.193;722.976;658.111;391.614;120.723;10.128;0;1.918.745;2;0;0;0;0;0;0;2;0;0;9.180;0;0;0;0;9.180;0;18.407;0;0;0;0;0;18.407;18.138;360.252;508.607;243.268;71.693;20.400;0;1.222.358;3.040;22.295;164.449;50.043;50.564;16.523;0;306.914;786;57.684;245.488;314.233;124.337;89.437;0;831.965;0;1.978;6.615;11.042;0;0;0;19.635;0;0;0;0;0;0;0;0;358.844
BANCO FIDIS S/A;62.237.425;b2;I;3;;8;BETIM;MG;12/2012;4.334.978;6.162;7.552;15.022;30.850;19.584;106;0;79.277;23.820;124.364;315.368;626.122;178.652;68;0;1.268.394;0;0;0;0;0;0;0;0;0;879.582;1.842.213;428;0;0;0;2.722.223;0;0;0;0;0;0;0;0;525;264.241;318;0;0;0;0;265.084;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BANCO DAYCOVAL S.A.;62.232.889;b1;I;2;;8;SAO PAULO;SP;12/2012;4.324.107;115.606;454.531;688.138;581.251;26.456;385;0;1.866.367;341;1.378;2.125;2.225;95;0;0;6.163;55.975;882.770;332.147;0;0;0;0;1.270.891;7.303;186.247;14.455;1.125;308;0;0;209.437;6.451;156.575;278.192;0;0;0;0;441.218;7.404;77.626;113.319;27.517;111;0;0;225.976;254;30.645;83.869;143.044;31.266;14.402;0;303.481;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;573
MERCANTIL DO BRASIL;20.152;b1;C;2;;199;BELO HORIZONTE;MG;12/2012;4.252.814;28.970;662.213;833.041;656.820;68.058;2.357;0;2.251.460;938;14.714;30.821;28.087;1.409;0;0;75.970;50.583;834.546;135.611;0;0;0;0;1.020.741;7.323;213.819;20.576;0;0;0;0;241.718;207;25.164;25.696;0;0;0;0;51.067;21.092;28.808;58.697;107.798;85.212;10.748;255;312.610;183;634;1.454;70;0;0;0;2.341;0;641;18.780;2.458;1.097;193.574;0;216.550;0;18.424;37.549;23.843;543;0;0;80.358;0
BANCOOB;51.750;b1;C;2;;199;BRASILIA;DF;12/2012;3.986.067;21;2.185;6.730;2.520;1.381;5.501;0;18.338;9;3.946;11.141;25.026;10.373;23;0;50.518;0;0;0;0;0;0;26;26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.604;138.300;962.748;254.013;20.756;0;0;1.377.423;15;3.325;10.295;26.247;17.417;12.779;0;70.078;0;310.591;1.428.843;598.693;104.518;27.040;0;2.469.685;0;0;0;0;0;0;0;0;0
BANCO BVA S.A.;32.254.138;b1;I;2;;8;SAO PAULO;SP;12/2012;3.979.111;273.032;334.768;736.340;1.745.121;333.511;9.720;0;3.432.491;0;0;0;0;0;0;0;0;182.808;17.868;1;0;0;0;0;200.676;24;2;0;0;0;0;0;25;17.896;11.337;0;0;0;0;0;29.233;1.438;61;20.416;141.560;118.370;17.433;0;299.278;455;171;1.235;1.815;0;13.734;0;17.408;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1.023.570;b1;I;3;;8;SAO PAULO;SP;12/2012;3.201.193;0;44.708;44.382;139.331;89.202;7.143;0;324.766;0;0;0;0;0;0;0;0;0;0;0;20.152;0;0;0;20.152;0;734;25.701;0;0;0;0;26.435;0;406.979;902.514;450.565;426.531;189.976;0;2.376.565;393;0;40.640;15.618;10.212;4.836;0;71.700;0;4.409;13.389;31.584;23.607;11.453;0;84.443;44;5.972;28.144;14.429;9.241;7.415;0;65.246;0;0;0;0;0;0;0;0;231.886
BANCO CATERPILLAR S.A.;2.658.435;b2;I;3;;8;SAO PAULO;SP;12/2012;3.131.656;2.018;16.726;48.837;116.930;146.948;0;0;331.459;6.965;60.797;145.623;201.099;33.173;7.992;0;455.648;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16.447;210.768;581.880;1.072.314;341.670;121.468;0;2.344.549;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BANCO VOLVO BRASIL S.A.;58.017.179;b2;I;3;;8;CURITIBA;PR;12/2012;2.878.372;934;2.832;5.556;5.862;125;0;0;15.310;6.357;63.775;144.706;179.186;29.529;11;0;423.564;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;140.337;150.574;0;0;0;0;290.911;9.371;166.648;496.069;1.008.716;457.474;10.309;0;2.148.587;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
DEUTSCHE;51.183;b1;C;3;;199;SAO PAULO;SP;12/2012;2.854.487;0;42.762;64.990;15.198;0;0;0;122.950;0;0;0;0;0;0;0;0;0;16.606;35.416;0;0;0;0;52.021;0;366.581;11.030;15.799;0;0;0;393.410;0;287.345;447.739;61.378;0;947.448;0;1.743.911;12.104;4.713;2.439;13.998;3.243;0;0;36.497;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;505.698
BANCO DE DESENVOLVIMENTO DE MINAS GERAIS S.A.-BDMG;38.486.817;b4;I;1;;5;BELO HORIZONTE;MG;12/2012;2.686.610;1.375;42.145;134.967;158.581;32.147;108.000;0;477.215;2.094;23.192;59.086;147.369;116.513;94.797;0;443.051;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17;45;862;1.571;268;18;0;2.782;2.144;67.102;193.302;551.489;329.400;461.287;257;1.604.980;0;32.911;32.940;39.537;16.739;36.455;0;158.582;0;0;0;0;0;0;0;0;0
BANCO IBM S.A.;34.270.520;b2;I;3;;8;RIO DE JANEIRO;RJ;12/2012;2.570.287;0;0;0;0;0;0;0;0;5.654;341.882;831.384;1.006.722;212.201;30.241;0;2.428.084;0;0;0;0;0;0;0;0;4;11.670;0;0;0;0;0;11.674;0;0;0;0;0;0;0;0;0;11.467;29.584;64.977;24.502;0;0;130.530;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PANAMERICANO;31.323;b1;C;2;;199;SAO PAULO;SP;12/2012;2.559.248;15.203;206.599;487.482;235.483;6.493;38.920;0;990.179;12.325;256.944;445.644;248.941;53.748;10.230;4.058;1.031.891;569;0;0;0;0;0;0;569;0;1;0;0;0;0;0;1;33.344;101.226;312.683;45.016;8.891;0;0;501.161;4.264;1.314;2.027;27.289;553;0;0;35.447;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
INDUSVAL;50.531;b1;C;2;;199;SAO PAULO;SP;12/2012;2.557.001;30.071;261.942;413.745;280.910;91.569;32.794;0;1.111.030;0;14.262;23.546;17.121;1.600;0;0;56.529;803;16.959;12.975;0;0;0;0;30.737;1.036;427.968;54.984;0;0;0;0;483.988;9.207;112.790;197.173;0;0;0;0;319.169;993;39.333;44.821;51.494;20.233;10.659;8.997;176.530;808;25.168;63.103;141.534;37.942;7.749;0;276.305;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;102.711
BANCO CNH CAPITAL S.A.;2.992.446;b2;I;3;;8;CURITIBA;PR;12/2012;2.122.703;170;248.407;166.884;0;0;0;0;415.462;6.237;31.476;56.778;59.983;15.477;0;0;169.951;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.473;427.787;368.224;0;0;0;0;799.484;9.679;87.854;169.879;311.141;90.271;180;0;669.002;186;5.428;22.921;30.609;9.015;645;0;68.804;0;0;0;0;0;0;0;0;0
