Instituição;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total da Carteira de Pessoa Física;Empréstimo com Consignação em Folha;;;;;;;;Empréstimo sem Consignação em Folha;;;;;;;;Veículos;;;;;;;;Habitação;;;;;;;;Cartão de Crédito;;;;;;;;Rural e Agroindustrial;;;;;;;;Outros Créditos;;;;;;;;Total Exterior Pessoa Física;
;;;;;;;;;;;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 dias;A Vencer Entre 1801 a 5400 Dias;A Vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;;
CAIXA ECONOMICA FEDERAL;360.305;b1;I;1;S1;6;BRASILIA;DF;12/2020;602.887.837;2.209.872;5.093.407;13.548.952;24.850.900;13.601.002;10.860.945;56;70.165.134;679.812;1.266.876;2.895.013;3.653.289;214.081;18.948;10.788;8.738.806;17.132;45.902;85.274;79.820;11.918;40;14;240.100;752.495;13.711.903;38.168.748;88.622.890;72.515.928;204.556.093;82.292.600;500.620.657;981.626;6.474.801;2.213.973;188.379;26.582;25.329;0;9.910.691;109.388;358.035;2.416.731;781.314;301.263;225.478;0;4.192.209;1.266.778;2.615.589;2.006.093;1.642.521;761.765;700.852;26.643;9.020.240;0
BRB;31.976;b1;C;1;S3;199;BRASILIA;DF;12/2020;13.626.112;23.041;402.303;1.065.425;2.363.806;1.780.440;2.578.638;0;8.213.653;34.222;303.916;515.456;866.032;495.738;370.413;0;2.585.777;404;5.947;14.402;21.742;4.807;0;0;47.301;454;33.657;77.290;202.919;196.371;846.396;722.388;2.079.474;0;0;0;0;0;0;0;0;2.962;32.524;162.089;40.181;28.400;43.351;323;309.830;8.281;23.690;100.704;45.945;37.013;99.234;75.209;390.076;0
BANCO COOPERATIVO SICREDI S.A.;1.181.521;b1;I;2;S3;11;PORTO ALEGRE;RS;12/2020;11.890.698;9;48.358;126.966;211.128;89.512;39.706;0;515.680;0;48;156;377;184;100;0;865;0;2.098;6.033;12.447;1.837;916;0;23.332;0;8.422;20.280;53.017;52.118;234.313;224.678;592.829;0;0;0;0;0;0;0;0;0;286.783;1.753.338;3.498.866;2.588.309;2.555.214;214;10.682.724;136;4.975;21.066;38.812;10.274;5;0;75.269;0
BANCO CSF S.A.;8.357.240;b2;I;3;S3;8;SAO PAULO;SP;12/2020;11.062.791;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.227.842;6.383.254;2.914.952;536.703;41;0;0;11.062.791;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BMG;30.290;b1;C;2;S3;199;SAO PAULO;SP;12/2020;9.852.603;14.111;116.671;368.455;712.348;426.358;277.717;25;1.915.685;234.697;314.628;267.114;12.802;358;176;0;829.776;37;13;32;34;1;0;0;118;0;0;0;0;0;0;0;0;336.732;2.688.230;1.066.368;1.468.520;453.693;61.506;0;6.075.050;0;0;0;0;0;0;0;0;518;527;26.615;23.337;3.187;3.663;0;57.846;974.128
PORTO SEGURO;51.444;n1;C;2;S4;197;SAO PAULO;SP;12/2020;9.589.871;3.797;13.407;29.661;36.528;6.890;28;0;90.311;1.895;9.276;4.123;1.256;196;3;0;16.750;18.747;192.364;490.422;747.695;134.971;282;0;1.584.480;0;0;0;0;0;0;0;0;431.516;4.858.588;2.390.229;140.068;28.425;0;0;7.848.826;0;0;0;0;0;0;0;0;761;7.852;18.266;20.541;2.083;1;0;49.505;0
BANCOOB;51.750;b1;C;2;S3;199;BRASILIA;DF;12/2020;9.083.753;3.697;96.590;247.810;535.666;311.508;134.144;0;1.329.414;1.092;20.430;62.699;118.039;54.432;29.439;0;286.133;0;0;2;4;0;0;0;6;25;2.831;6.373;16.964;16.527;78.658;87.877;209.255;26.145;716.957;3.705.676;25.031;252;0;0;4.474.061;0;110.948;369.928;837.196;664.097;759.948;0;2.742.117;56;1.142;3.522;9.654;9.193;19.202;0;42.768;0
DAYCOVAL;51.987;b1;C;2;S3;199;SAO PAULO;SP;12/2020;8.827.615;93.927;463.247;1.285.540;2.497.142;1.485.691;809.826;0;6.635.373;2.187;12.806;20.178;41.520;10.428;301;0;87.420;33.499;162.214;376.245;485.535;42.897;729;0;1.101.118;53;47;86;241;260;1.851;863;3.401;33.808;497.439;14.069;3.595;1.402;217;0;550.531;0;0;493;273;0;0;0;766;605;59.152;133.065;173.962;36.872;41.347;4.003;449.006;0
BANCO VOLKSWAGEN S.A.;59.109.165;b2;I;3;S3;8;SAO PAULO;SP;12/2020;7.969.585;978;6.667;14.269;15.942;1.723;2;0;39.582;616;9.839;30.571;84.319;30.617;24;0;155.986;71.124;1.003.594;2.566.624;3.545.189;586.207;1.278;0;7.774.016;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BNP PARIBAS;51.516;b1;C;3;S3;199;SAO PAULO;SP;12/2020;7.894.283;57.661;370.904;1.057.156;1.767.431;1.041.769;583.498;790;4.879.208;25.248;37.515;57.382;8.754;773;406;0;130.078;420;545;1.369;2.371;191;0;0;4.896;0;0;0;0;0;0;0;0;69.012;1.725.017;692.796;160.411;11.945;0;0;2.659.181;0;0;7.169;0;0;0;0;7.169;11.290;32.480;60.542;73.398;26.575;9.467;0;213.751;0
BANCO GM S.A.;59.274.605;b2;I;3;S3;8;SAO PAULO;SP;12/2020;7.251.263;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;51.691;920.573;2.298.098;3.327.223;651.947;1.731;0;7.251.263;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BANCO DO NORDESTE DO BRASIL S.A.;7.237.373;b1;I;1;S2;8;FORTALEZA;CE;12/2020;6.935.082;276;14.142;35.995;55.179;19.465;180;0;125.238;1.513;6.096;11.730;9.292;40;1;0;28.672;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.591;30.033;10.711;440;0;0;0;43.776;20.370;6.629;570.432;629.680;2.174;3.512;0;1.232.798;57.632;2.709.871;2.525.415;208.549;1.958;1.106;69;5.504.599;0
BANCO JOHN DEERE S.A.;91.884.981;b1;I;3;S3;8;INDAIATUBA;SP;12/2020;6.511.721;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26.354;65.160;1.715.058;2.522.481;1.563.215;485.012;0;6.377.280;2.547;5.686;86.365;32.675;6.216;953;0;134.441;0
INTER;51.884;b1;C;2;S4;199;BELO HORIZONTE;MG;12/2020;6.429.742;12.016;88.098;266.867;524.944;358.488;308.486;0;1.558.899;12;23;50;71;3;0;0;160;0;0;0;0;0;0;0;0;7.012;50.820;106.353;272.611;250.093;877.954;537.176;2.102.020;135.462;1.368.757;432.742;15.728;332;0;57;1.953.077;0;0;46.281;30.381;1.021;0;0;77.683;9.796;49.423;88.533;188.818;143.577;246.014;11.743;737.904;0
BANCO DO ESTADO DO PARÁ S.A.;4.913.711;b1;I;1;S3;8;BELEM;PA;12/2020;6.239.289;11.410;328.015;772.807;1.623.355;939.481;1.073.848;0;4.748.914;21.486;217.738;416.557;436.323;145.639;33.665;0;1.271.409;0;0;0;0;0;0;0;0;0;1.366;3.960;9.376;7.772;22.740;9.277;54.490;4.568;39.965;15.701;994;0;0;2;61.230;1.126;0;385;813;308;129;0;2.761;2.651;11.390;21.232;32.235;16.889;15.678;408;100.484;0
BANCO CNH INDUSTRIAL CAPITAL S.A.;2.992.446;b2;I;3;S3;8;CURITIBA;PR;12/2020;5.918.118;0;0;0;0;0;0;0;0;3;1.004;2.737;4.745;1.563;5;0;10.057;752;6.955;19.152;36.250;15.659;83;0;78.850;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14.153;60.919;1.472.030;2.257.321;1.513.590;468.367;0;5.786.380;8;10.992;31.830;0;0;0;0;42.830;0
CREDIT SUISSE;30.771;b1;C;3;S3;199;SAO PAULO;SP;12/2020;5.638.468;0;0;0;0;0;0;0;0;0;47.640;436.328;4.583.382;320.156;100.000;0;5.487.506;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;967;795;149.200;0;0;150.963;0
PARANÁ BANCO;30.881;b1;C;2;S4;199;CURITIBA;PR;12/2020;5.542.389;25.225;369.697;1.059.560;2.063.759;1.229.454;773.202;0;5.520.896;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;558;1.314;3.343;6.781;4.082;5.391;25;21.493;0
BANCO TOYOTA DO BRASIL S.A.;3.215.790;b2;I;3;S3;8;SAO PAULO;SP;12/2020;5.536.892;0;0;0;0;0;0;0;0;4;143;368;550;26;0;0;1.091;13.943;706.529;1.974.572;2.552.308;248.516;816;0;5.496.684;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;87;5.888;14.469;17.140;1.529;5;0;39.117;0
MERCANTIL DO BRASIL;20.152;b1;C;2;S3;199;BELO HORIZONTE;MG;12/2020;5.368.816;15.430;153.262;735.948;1.351.242;700.978;373.074;0;3.329.933;70.865;299.319;662.209;411.129;98.652;14.783;0;1.556.958;0;567;1.296;504;0;0;0;2.368;20;338;4.409;8.183;7.114;21.986;10.277;52.326;11.285;223.768;52.523;525;0;0;0;288.101;0;2.848;14.517;9.783;1.205;0;0;28.353;10.716;32.648;41.582;21.329;4.473;30;0;110.778;0
BANCO DE LAGE LANDEN BRASIL S.A.;5.040.481;b2;I;3;S4;8;PORTO ALEGRE;RS;12/2020;5.193.592;0;0;0;0;0;0;0;0;0;1.279;4.809;6.609;2.887;205;0;15.790;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14.609;170.691;1.311.849;2.112.493;1.066.736;386.041;0;5.062.419;576;2.544;19.710;40.299;27.505;24.749;0;115.383;0
ALFA;51.293;b1;C;2;S3;199;SAO PAULO;SP;12/2020;4.420.440;3.879;231.535;596.943;1.079.363;601.322;375.704;0;2.888.746;292;14.467;32.413;94.911;7.881;285;0;150.249;3.398;185.680;465.741;648.396;77.448;304;0;1.380.968;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;369;67;41;0;0;0;477;0
C6 BANK;52.072;b1;C;2;S4;199;SAO PAULO;SP;12/2020;4.276.302;1.828;119.281;657.422;1.338.873;838.464;609.120;0;3.564.989;103;5.211;10.313;28.259;208;0;0;44.095;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19.323;423.348;165.723;1.586;0;0;0;609.980;0;0;0;0;0;0;0;0;1.735;754;1.997;52.753;0;0;0;57.239;0
MIDWAY S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;9.464.032;n1;I;2;S4;14;SAO PAULO;SP;12/2020;4.046.094;342;769;968;399;0;0;0;2.478;185.696;99.731;60.782;2.672;0;0;0;348.880;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;590.726;2.160.084;930.981;12.945;0;0;0;3.694.736;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ORIGINAL;51.781;b1;C;2;S3;199;SAO PAULO;SP;12/2020;3.867.320;0;0;0;0;0;0;0;0;8.525;69.053;172.501;276.705;38.453;4.350;0;569.589;0;0;0;0;0;0;0;0;3;51;136;288;166;217;58;919;43.134;367.209;119.120;2.070;4;0;0;531.538;0;0;104.014;27.322;0;0;0;131.336;12.711;188.886;927.037;1.341.349;97.530;7.083;59.341;2.633.938;0
HONDA;51.396;b2;C;3;S4;198;SAO PAULO;SP;12/2020;3.858.337;0;0;0;0;0;0;0;0;10;36;47;0;0;0;0;93;48.444;557.448;1.303.016;1.844.755;104.582;0;0;3.858.244;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
REALIZE CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A.;27.351.731;n1;I;3;S4;14;PORTO ALEGRE;RS;12/2020;3.535.837;0;0;0;0;0;0;0;0;10.154;9.945;4.422;123;0;0;0;24.644;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;493.791;2.125.728;871.282;20.392;0;0;0;3.511.193;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
OMNI;50.940;b1;C;2;S4;199;SAO PAULO;SP;12/2020;3.431.054;0;0;0;0;0;0;0;0;43.125;92.908;130.696;71.126;4.033;0;0;341.889;109.944;390.619;834.375;918.407;81.629;0;0;2.334.974;0;0;0;0;0;0;0;0;147.037;406.981;110.767;2.030;0;0;0;666.815;0;0;0;0;0;0;0;0;6.004;38.173;40.105;3.092;2;0;0;87.375;0
BANESTES;30.159;b1;C;1;S3;199;VITORIA;ES;12/2020;3.210.573;6.837;93.632;283.428;595.775;386.251;342.062;0;1.707.984;4.055;36.008;64.889;76.894;25.727;2.465;0;210.038;139;2.985;7.972;14.269;3.706;109;0;29.181;171;6.451;18.741;49.410;47.709;200.223;166.383;489.088;9.341;393.094;14.516;3.363;0;0;0;420.314;2.406;6.972;58.992;30.203;14.722;3.282;0;116.577;6.676;66.551;67.613;79.365;12.656;4.523;9;237.391;0
COOPERATIVA DE CREDITO CREDICITRUS;54.037.916;b3S;I;2;S4;9;BEBEDOURO;SP;12/2020;3.044.063;2;497;1.256;2.337;885;1;0;4.978;12.436;134.801;619.701;461.156;146.289;2.881;0;1.377.264;294;17.255;49.275;83.665;15.059;13;0;165.561;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4.673;186.376;919.629;217.206;27.566;748;0;1.356.198;15.260;72.037;38.825;8.867;3.844;1.228;0;140.062;0
COOPERATIVA DE CREDITO VALE DO ITAJAI - VIACREDI;82.639.451;b3S;I;2;S5;9;BLUMENAU;SC;12/2020;3.019.338;41;492;1.245;1.667;430;333;0;4.209;24.350;264.386;662.831;901.605;198.098;136.832;22.416;2.210.519;928;17.522;48.497;79.877;17.045;139;0;164.008;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15.688;95.643;229.011;223.944;52.913;23.038;364;640.602;0
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;92.816.560;b4;I;1;S3;5;PORTO ALEGRE;RS;12/2020;2.898.226;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12.297;121.687;562.860;1.059.015;572.085;500.748;17;2.828.709;168;3.276;10.218;24.183;15.090;16.582;0;69.517;0
XP;52.120;b1;C;2;S3;199;RIO DE JANEIRO;RJ;12/2020;2.866.264;0;0;0;0;0;0;0;0;52;59.513;375.193;988.150;746.897;645.189;0;2.814.994;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28;39.230;11.989;23;0;0;0;51.270;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
PEFISA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;43.180.355;n1;I;2;S4;14;SAO PAULO;SP;12/2020;2.417.492;3;46;25;74;83;46;0;277;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;424.376;968.412;909.938;92.472;0;0;0;2.395.198;0;0;0;0;0;0;0;0;1.126;20.673;212;7;0;0;0;22.017;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO OURO VERDE DO MATO GROSSO - SICREDI OURO VERDE MT;26.529.420;b3S;I;2;S4;9;LUCAS DO RIO VERDE;MT;12/2020;2.360.989;221;10.835;29.071;67.994;41.049;30.023;0;179.194;3.229;42.973;208.412;112.416;15.195;446;0;382.670;295;11.209;34.407;71.206;28.897;239;0;146.253;0;0;0;0;0;0;0;0;4.600;72.461;23.145;29;0;0;0;100.236;5.748;29.791;706.687;137.253;69.010;5.300;0;953.790;6.099;65.440;351.514;98.465;50.234;27.096;0;598.847;0
AGIBANK;51.956;b1;C;2;S4;199;PORTO ALEGRE;RS;12/2020;2.247.886;2.871;72.621;186.946;344.830;198.813;114.267;0;920.347;108.460;364.579;502.286;87.818;133;0;0;1.063.276;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27.911;220.311;11.869;5;0;0;0;260.095;0;0;0;0;0;0;0;0;1.999;295;1.560;314;0;0;0;4.169;0
BANCO DO ESTADO DE SERGIPE S.A.;13.009.717;b1;I;1;S4;8;ARACAJU;SE;12/2020;2.216.134;3.363;51.551;106.639;255.017;224.142;345.723;39;986.474;5.003;37.895;77.478;142.118;85.239;36.195;59;383.987;0;0;0;0;0;0;0;0;281;5.291;14.498;38.267;36.471;149.516;119.259;363.583;28.779;221.954;74.541;487;0;0;0;325.761;2.983;17.352;24.025;36.618;22.158;16.498;0;119.635;1.882;14.918;15.457;3.092;1.087;259;0;36.694;0
BANCO DA AMAZONIA S.A.;4.902.979;b1;I;1;S3;2;BELEM;PA;12/2020;2.206.318;372;1.834;4.450;6.266;970;1;0;13.892;28.663;97.895;261.323;125.455;16.893;4.284;1.964;536.476;26;1.717;5.874;10.005;3.085;31;0;20.738;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;65.436;73.077;677.383;544.024;100.947;101.639;1.040;1.563.547;3.438;35.979;27.848;1.362;1.418;1.621;0;71.665;0
